Note: data from 2012,percent total GHGs,GHGs (MtCO2 eq),,source,URL
Industry,29.1,"15,085",,ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
-non-metallic minerals,6.2,"3,214","stone, clay, sand, ingredients for industrial chemicals, fertilizer components, salt, quartz, gypsum, gemstones, etc",ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
-iron and steel,4.8,"2,488",yes,ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
-chemical and petrochemical,4.3,"2,229",the production of chemicals and petrochemicals - energy use and any emissions in the processes,ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
-non-ferrous metals,1.4,726,"Anything without iron in it - biggest are aluminium, copper, lead, nickel, tin, titanium and zinc, and alloys such as brass. Also precious metals and rare-earth metals.",ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
-food and tobacco,1,518,Yep!,ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
-paper pulp and printing,0.9,467,"life-cycle of paper production, converting or printing and distribution, and then disposal at the end of its lifetime.",ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
-other industries,10.5,"5,443","Digital industries, media, telecoms, all fit in here, but so do things like financial services, hospitality, defence, anything that's not mentioned above.",ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
Buildings,18.3,"9,487",,ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
-residential,11.2,"5,806",all emissions - from energy use to construction and demolition.,ECOFYS,https://www.asnbank.nl/web/file?uuid=9a2d8d08-5282-4380-a56a-e10940348eb5&owner=6916ad14-918d-4ea8-80ac-f71f0ff1928e&contentid=1267
